ID;text;group
0;' hi ,     i\'ve notice save model ( mapping plane position carefully ) .3ds file reload restart 3ds , default position orientation .     save .prj file position / orientation preserve .     know information store .3ds file ?     explicitly manual save texture rule .prj file .     i\'d like able read texture rule information ,     format .prj file ?     .cel file format available ?     rych ';1
1;'     , bar evidence contrary , koresh simply derange fanatic think neccessary bunch folk , child , satisfy delusional mania . jim jones , circa 1993 .      nope - fruitcake like koresh demonstrate evil corruption century . ';3
2;'     > article < 1993apr19.020359.26996@sq.sq.com > , msb@sq.sq.com ( mark brader )      mb >                                                                mb > 1970 figure unlikely actually perijove .     jg > sorry , _ perijoves _ ... i\'m use talk language .     couldn\'t periapsis apoapsis ?      ';2
3;' request like charley wingate respond charley challenges ( judge e - mail , appear . )       clear mr . wingate intend continue post tangential unrelated article ingore challenge .     - posting challenges , note dozen post mr . wingate , answer single challenge .       unmistakable mr . wingate hope question away , level good change subject .     common net.theist tactic , like suggest impress desire answer , following manner :     1 . ignore future article mr . wingate address challenges , answer explictly announce refuse .     --or--     2 . respond article , include similar following :         answer question pose charley challenges .     , i\'m look humiliate , want honest answer .     wouldn\'t think honesty ask devout christian , ?       nevermind , rhetorical question . ';0
4;' aw&st     brief blurb manned lunar exploration confernce 7th     crystal city virginia , auspex aiaa .     know ?     , attend ? ? ? ?     want ? ';2
5;' definitely horrible death result atheist theist .     i\'m sure bobby list atheist fail recognize theist equally proficient genocide .     , i\'m bit weak history , somone like list war cause / lead theist ?     think ( hitler claim christian example ) complete list probably effective bobby absurd statement .      note , notice sign post peace .     advice leave atheist peace belief ?      nanci ';0
6;' mark prado          old pioneer song 1850\ follow :         cavern , canyon ,       excavating ,       dwelt miner , - niner ,       daughter , clementine       chorus :      oh darling , oh darling ,       oh darling clementine .       lose forever ,       oh darling clementine .        i\'ve explain ( confirm reliable data source ) clementine acronym .     like combined lunar elemental mapper experiment extended non terrestrial intercept near earth .     personally , think acronym fit ( acronym ) .     ------------------------------------------------------------------     wales larrison                              space technology investor ';2
7;' acorn replay run 25mhz arm 3 processor ( arm 3 20\% slow arm 6 ) software ( standard cd - rom ) . 16 bit colour resolution ( computer 8 bit colour support , real - time dither ... ) . 3d0 / o suppose couple dsp - arm use housekeeping .      25mhz arm 6xx clock 20 arm mips , 18 flat . depend surround system talk arm6x arm6xx ( cache , essential run kind speed slow memory ) .     i\'ll stop thing \'cos i\'ll hopefully work arm graduation ...     mike     ps don\'t pay heed rep philips say- 3d0 / o doesn\'t beat       pant 3di i\'ll eat postscript . ';1
8;' hiten engineering - test mission spend highly eccentric earth orbit lunar flyby , insert lunar orbit use tricky gravity - assist - like maneuvering .     mean crash moon eventually , thing stable lunar orbit ( far know ) , believe recall hear recently happen . ';2
9;' i\'m interested find involve process pair     stereo photograph .     black - - white photo like     obtain surface contour .     i\'d prefer processing sgi , interested hear software / hardware use type image processing .     email and/or post comp.sys.sgi.graphic response .     thank , ';1
10;'     positional uncertainty s - l 1993e ?      assume know galileo meter .      hga ,     don\'t pretty good idea , look imaging ?     hga work ,     slew near real time ( speed light delay ) .     image toutatis ? ? ? ?     didn\'t lucky guess find image ?        , imagine s - l 1993e visual image .     affect imaging mission .     lga ,     real tight allocation bandwidth .      premature hope answer , think i\'d throw floor . ';2
11;' like program tseng et4000 nonstandard 1024x768 mode switch standard 1024x768 mode use bios change timing detail ( 0x3d4 register 0x00 - 0x1f ) don\'t know select 36 mhz pixel clock need . bios function select 40 mhz .     anybody know obtain technical info . interested technical information tseng et4000 trident 8900 9000 chipset .     \t\t\tthank ';1
12;' - reply - : < 20apr199312262902@rigel.tamu.edu > lmp8913@rigel.tamu.edu ( preston , lisa m ) ';1
13;'       i\'m sure , sound like can\'t figure     _ nucleus _ coma . they\'re couple mile , , imagine rest ... ';2
14;' hello ,         look add voice input capability user interface develop hp730 ( unix ) workstation .     greatly appreciate     information care offer voice input system     easily accessible unix environment .           adresse applicable vendor ,     experience specific system , helpful .          respond email- post summary     sufficient interest .      thank , ken      p.s .     find impressive system ibm pc\ ,     like avoid hassle purchase maintain separate pc     possible .     ------------------------------------------------------------------------------- ken hinckley ( kph2q@virginia.edu ) university virginia     neurosurgical visualization laboratory ';1
15;' test reusable tool .      pointy find stick pant , close brain ? ';2
16;' size army , duration , number casualty absolute percentage involve , geographical area number country , measure size .     case i\'d relevant statistic number combatant ( total troop ) compare total casualty total civilian population affect geographical area .      vietnam korea good comparison .      western news general , particular american mass medium : cbs , nbc , abc , etc .     general tone news war poor , poor iraqis look precisely cruise missile blow building bit .      agree .      .     maybe atomic bomb mistake .     that\ easy enlighten viewpoint 90\ , right ?     , * - * war , germany japan squash . , million british die ,     thousand french , couple hundread thousand americans ,     million russians , mention million jews , poles ,     people slavic descent german concentration camp .         thing consider , fire - bombing atomic bomb essential ( justify ) bring war quick end avoid great allied loss .     , , don\'t regret .      sure .     it\ people suffer .     reason depose entrenched political ruler operate selfish interest !     mean apply ally ? ?      claim effort justify misguided foreign policy west war .     evident west , especially america , misjudged hussein drastically .     hussein invade kuwait     threaten militarily corner significant portion world\ oil supply , stop .     sure war prevent judicious concerted effort west hussein invade kuwait , * hussein * responsible decision invade .     , strong response west require .      , it\ loving allow hussein hitler gobble nearby country .     allow continue mass slaughter certain people dominion .     , i\'d yes , stop hussein loving thing people involve set mind military conquest .     mention .     hadn\'t intervene , allow hussein kuwait , appeasement .     precisely lesson world learn ww2 motivate western alliance war .     let hitler austria czechoslavkia stop ww2 happen , let hussein kuwait stop eventual gulf war protect saudi arabia .      sure .     truly unfortunate follow hitler grandiose quest thousand year reich .     consequence stem .     ?     particular ?       ?     * policeman * trial rodney king ! !     american law deserve jury * * peer !     black officer involve , i\'m sure black juror . point ( allegedly racial motivation ) shallow .      ?     it\ hard imagine ?     argument incredulity gain acceptance revere author construct logical argument ?     expect revision soon ? ?     :)     ( kid . )      admit wonder .     * * prosecution defense talk .     conclude way silence principal .        ok .     certainly excessive force involve . frankly , original guilty verdict baffle .     learn prosecution case try convict charge excessive force simple assault probably win , try conviction charge aggravate assault intent inflict bodily harm .     charge , news commentator , akin attempt murder california law .     base prosecution ask , it\ evident     jury decide officer guilty .     note ,     guilty wrong , guilty aggravate assault     * intent * inflict bodily harm .     seed     prosecution defeat overconfidence obtain     verdict extreme charge .     fact news commentator present true , feel guilty verdict reasonable .      thank mathew , like quote .     pretty funny actually .     ( i\'m     monty python fan , know .     kind vein . )     course , oversimplify moral argument contradictory .     , know .       regard , ';0
17;' < stuff delete >     mean like : second , minute , hour , day , month , year . . .     :-)     remember ,     fahrenheit temperature scale centigrade scale .     revisionist tell history like :     cold point particular russian winter mark thermometer body temperature volunteer ( turn sick , can\'t win \'em ) . space mark thermometer divide hundredth . \t\t\t\t\t\t\t\t:- )     fwiw ,     doug page ';2
18;' wasn\'t especially prominent , recall .     , possibly it\ long display- nasm , like museum , stuff display , rotate display occasionally . ';2
19;' dm > fact rumor .... ?     madalyn murray o\'hare atheist eliminate dm > use bible reading prayer public school 15 year ago dm > appear fcc petition stop reading dm > gospel airway america .     campaign remove dm > christmas program , song , etc public school .     true dm > mail federal communications commission 1919 h street washington dc dm > 20054 express opposition request .     reference petition number     dm > 2493 .     false .     story year .     there\ drop truth .     note don\'t care o\'hare ( o\'hair ? ) , thing she\ guilty . ';3
20;'      mean gd approach , article recent avation week . don\'t remember exact date recent .      allen ';2
21;' 68070 variation 68010 year ago european partner motorola . integrate / o controller half mmu , it\ 68010 . think 8086 80186 .     \t\tburkhard neidecker - lutz ';1
22;' psa 145:9     lord good :     tender     mercy     work . ';3
