ID;text;group
0;notice model mapping plane position file reload restart default position orientation file position orientation information store file texture rule file texture rule information format file file format rych;1
1;bar evidence koresh folk child satisfy fruitcake corruption century;3
2;article figure perijoves talk language periapsis apoapsis;2
3;request mail article ingore challenges dozen answer challenge level change tactic impress desire answer follow manner article address announce respond article follow answer question challenges answer think honesty ask question;0
4;blurb exploration confernce 7th know;2
5;death result theist list fail recognize theist genocide m bit history somone list war cause think example list statement note notice sign peace advice peace belief;0
6;song follow cavern canyon miner niner daughter clementine darling darling darling clementine darling clementine datum source acronym mapper experiment intercept earth acronym acronym wales space technology investor;2
7;replay run arm processor arm arm software rom bit colour resolution computer bit colour support time o couple dsp arm housekeeping arm clock arm depend surround system talk arm6x cache run kind speed memory thing arm graduation o beat pant 3di postscript;1
8;hiten engineering test mission earth orbit flyby orbit gravity assist crash moon orbit recall;2
9;find process pair stereo photograph photo surface prefer processing software hardware use type image processing email andor post comp.sys.sgi.graphics response thank;1
10;uncertainty l meter idea work time speed light delay image toutatis guess image imagine image imaging mission lga allocation answer floor;2
11;program nonstandard mode switch mode bios change detail 0x1f mhz pixel clock need bios function mhz info information chipset tttthank;1
12;;1
13;figure couple mile imagine rest;2
14;voice input capability user interface workstation information care voice input system environment adresse vendor experience system respond post summary interest system pc hassle purchase pc laboratory;1
15;test tool stick pant brain;2
16;army duration number casualty percentage area number country measure size case statistic number troop casualty population area news war cruise missile blow building bit bomb viewpoint couple people descent concentration camp thing fire bomb justify war end loss regret people reason ruler interest ally claim effort policy west war portion world oil supply war effort decision response west country mass slaughter people dominion love thing people mind conquest mention intervene lesson world ww2 alliance war ww2 hussein war protect follow hitler grandiose year reich consequence policeman trial rodney jury peer officer juror motivation imagine argument incredulity acceptance author argument revision wonder prosecution defense talk conclude way silence principal force verdict baffle prosecution case force assault conviction charge aggravate assault intent inflict harm charge news commentator akin attempt murder law base prosecution jury officer assault intent harm seed prosecution defeat overconfidence verdict charge fact news commentator verdict thank mathew fan course argument regard;0
17;stuff minute hour day month year fahrenheit temperature scale centigrade scale revisionist history point winter body temperature volunteer turn space doug page;2
18;recall nasm museum stuff display display;2
19;dm fact rumor o'hare atheist dm reading prayer school year dm petition dm gospel campaign dm program song school dm mail opposition request reference petition number dm story year drop truth note o'hair thing;3
20;approach article avation week date allen;2
21;variation year o controller lutz;1
22;mercy work;3
