ID;text;group
0;hi i 've notice that if you only save a model with all your mapping plane position carefully to a .3ds file that when you reload it after restart 3ds they be give a default position and orientation but if you save to a .prj file their position   orientation be preserve do anyone know why this information be not store in the .3DS file nothing be explicitly say in the manual about save texture rule in the .prj file i 'd like to be able to read the texture rule information do anyone have the format for the .prj file be the .CEL file format available from somewhere Rych;1
1;seem to be bar evidence to the contrary that Koresh be simply another derange fanatic who think it neccessary to take a whole bunch of folk with he child and all to satisfy his delusional mania Jim Jones circa 1993 nope fruitcake like Koresh have be demonstrate such evil corruption for century;3
2;  in article   1993apr19.020359.26996sq.sq.com   msbsq.sq.com Mark Brader MB   so the MB   1970 figure seem unlikely to actually be anything but a perijove JG   Sorry   perijoves I 'm not use to talk this language could n't we just say periapsis or apoapsis;2
3;I have a request for those who would like to see Charley Wingate respond to the Charley Challenges and judge from my e mail there appear to be quite a few of you it be clear that Mr. Wingate intend to continue to post tangential or unrelated article while ingore the Challenges themselves between the last two re posting of the Challenges I note perhaps a dozen or more post by Mr. Wingate none of which answer a single challenge it seem unmistakable to I that Mr. Wingate hope that the question will just go away and he be do his level well to change the subject give that this seem a rather common net.theist tactic I would like to suggest that we impress upon he our desire for answer in the follow manner 1 ignore any future article by Mr. Wingate that do not address the Challenges until he answer they or explictly announce that he refuse to do so --or-- 2 if you must respond to one of his article include within it something similar to the follow please answer the question pose to you in the Charley Challenges really I 'm not look to humiliate anyone here I just want some honest answer you would n't think that honesty would be too much to ask from a devout Christian would you nevermind that be a rhetorical question;0
4;AWST have a brief blurb on a Manned Lunar Exploration confernce May 7th at Crystal City Virginia under the auspex of AIAA do anyone know more about this how much to attend anyone want to go;2
5;there be definitely quite a few horrible death as the result of both atheist and theist I 'm sure Bobby can list quite a few for the atheist side but fail to recognize that the theist be equally proficient at genocide perhaps since I 'm a bit weak on history somone here would like to give a list of war cause   lead by theist I can think of a few Hitler claim to be a Christian for example but a more complete list would probably be more effective in show Bobby just how absurd his statement be on a side note I notice you always sign your post Peace perhaps you should take your own advice and leave the atheist in peace with their belief Nanci;0
6;Mark Prado Old pioneer song from the 1850 's or so go as follow in a cavern in a canyon excavate for a mine Dwelt a miner forty niner and his daughter CLEMENTINE Chorus oh my darling oh my darling oh my darling Clementine you be lose and go forever oh my darling Clementine I 've also have it explain but not confirm from a reliable datum source that CLEMENTINE be an acronym something like Combined Lunar Elemental Mapper Experiment on Extended Non Terrestrial Intercept Near Earth personally I think that acronym be make up to fit the name if it really be an acronym Wales Larrison Space Technology Investor;2
7;Acorn Replay run on a 25MHz ARM 3 processor the ARM 3 be about 20 slow than the ARM 6 do this in software off a standard CD ROM 16 bit colour at about the same resolution so what if the computer only have 8 bit colour support real time dither too the 3d0   o be suppose to have a couple of dsp the ARM be use for housekeeping a 25mhz ARM 6xx should clock around 20 ARM MIPS say 18 flat out depend really on the surround system and whether you be talk arm6x or ARM6xx the latter have a cache and so be essential to run at this kind of speed with slow memory I 'll stop say thing there 'cos I 'll hopefully be work for ARM after graduation Mike PS do n't pay heed to what rep from Philips say- if the 3d0   O does n't beat the pant off 3di then I 'll eat this postscript;1
8;their Hiten engineering test mission spend a while in a highly eccentric Earth orbit do lunar flyby and then be insert into lunar orbit use some very tricky gravity assist like maneuvering this mean that it would crash on the Moon eventually since there be no such thing as a stable lunar orbit as far as anyone know and I believe I recall hear recently that it be about to happen;2
9;I 'm interested in find out what be involve in process pair of stereo photograph I have black and white photo and would like to obtain surface contour i 'd prefer to do the processing on an SGI but would be interested in hear what software   hardware be use for this type of image processing please email andor post to comp.sys.sgi.graphics your response thank;1
10;a what about positional uncertainty in S L 1993e I assume we know where and what Galileo be do within a few meter but without the HGA do n't we have to have some pretty good idea of where to look before imaging if the HGA be work they could slew around in near real time Less speed of light delay but when they be image toutatis did n't someone have to get lucky on a guess to find the first image also I imagine S L 1993e will be mostly a visual image so how will that affect the other imaging mission with the LGA there be a real tight allocation of bandwidth it may be premature to hope for answer but I think i 'd throw it on the floor;2
11;I would like to program Tseng ET4000 to nonstandard 1024x768 mode by switch to standard 1024x768 mode use BIOS and than change some timing detail 0x3D4 register 0x00 0x1F but I do n't know how to select 36 mhz pixel clock I need the BIOS function select 40 mhz be there anybody who know where to obtain technical info about this I be also interested in any other technical information about Tseng ET4000 and Trident 8900 and 9000 chipset tttthank very much;1
12;in reply to   20APR199312262902rigel.tamu.edu   lmp8913rigel.tamu.edu PRESTON LISA M;1
13;I 'm not sure but it almost sound like they ca n't figure out where the   nucleus   be within the coma if they 're off by a couple hundred mile well you can imagine the rest;2
14;hello I be look to add voice input capability to a user interface I be develop on an hp730 UNIX workstation I would greatly appreciate information anyone would care to offer about voice input system that be easily accessible from the UNIX environment the name or adresse of applicable vendor as well as any experience you have have with specific system would be very helpful please respond via email- I will post a summary if there be sufficient interest thank Ken P.S. I have find several impressive system for IBM PC 's but I would like to avoid the hassle of purchase and maintain a separate pc if at all possible Ken Hinckley kph2qvirginia.edu University of Virginia Neurosurgical Visualization Laboratory;1
