ID;text;group
0;noticed save positioned reload restarting given save preserved know stored said saving like read have;1
1;Seems barring deranged thought take satisfy demonstrating;3
2;MB seems used talking say;2
3;have like see judging appear intends continue post ingoring noted answered seems hopes go doing change Given seems like suggest impress following Ignore address answers announces refuses do respond include following answer posed looking humiliate want think ask;0
4;had know attend want go;2
5;are list fails recognize like give caused led think claimed showing notice sign take leave;0
6;goes follows Excavating lost gone had explained confirmed think made fit;2
7;running does has dithering supposed have used clock say Depends surrounding talking has run stop saying working pay reps beat eat;1
8;spent doing inserted using meant crash is knows believe recall hearing happen;2
9;find involved processing have like obtain prefer do hearing used comp.sys.sgi.graphics;1
10;assume know doing have have look working slew imaging have get find imagine affect is hope thought throw;2
11;like program switching using changing registers know select need selects knows obtain \t\t\tthanks;1
12;;1
13;sounds figure they\'re imagine;2
14;looking add developing appreciate care offer had respond post is found like avoid purchasing maintaining;1
15;find stick;2
16;involved say compared affected make look blew agree say had squashed died mention considered justified bringing avoid regret suffer depose operating mean applies make justify misjudged invaded threatened corner had stopped prevented invaded invade did required allow gobble keep allow continue have say stopping loving do involved set mentioned intervened allowing keep learned motivated Letting take stop happening letting keep stopped protect followed stemmed say deserved involved imagine gained Constructing expect kidding have admit wonder talking conclude seemed was involved baffled learned try convict won tried get aggravated inflict said attempted Based asking decided doing aggravated inflicting obtaining went presented feel like know seems oversimplifying make seem know;0
17;deleted mean Remember tell marked turns win divided;2
18;wasn\'t recall has display rotate;2
19;eliminated going appear stop campaigning remove expressing going Note care;3
20;mean was remember;2
21;done has integrated Think;1
22;;3
23;prophesied mashed rebuilt- are living appear bother understand used do called happens says turns sees says Isn\'t claiming lined according discovered tied trying express using oriented misunderstands assume Turning trying defend read implies had told interpret say means read make rebuilt conclude get KNOW means misled read written is given read conclude seem feel rebuilt rebuilt know resigned supposing predicted said predicts destroy loot destroy quotes saying got led pay says destroy destroy says plunder plunder think died destroyed said going do did have rewrite needed fit want say expect respond pulling said demolish implied standing know used said demolish throw implied set wrote build implies spend stomping get See reconcile want;3
24;started appeared turned wondering seen published draw defined starts treat exists draw fit \tcomputed approximating has assume Take match opposing Use form filled color Take draw Take draw \tcolored coloring outline has involve resulting projecting sounds appreciate knowing;1
25;need seems based come disappear seems got have give get want .p[nb]m Come think;1
27;got starting play I\'m going try exchange;1
29;\tPlease do want post email know appreciated hate;3
30;based fall believe said stay blew sank;0
31;;3
32;based use have Use +41;1
33;missed help used create rendered written film took render acheive depends requires rendered notices move sustain rendering renders viewing get distracted focusing maintain run support modified support bypassing running support support shared rendering requires rendering aliasing support crawling aliased immersed use listed develop starting are get going targeted Inc.\t\t Inc.\t\t are are list Read check Feel contact;1
34;force do make murder kill wonder think has believe have seem exhibit trying say has does think means talking consider imply find;0
35;taken used make executed scheduled reported made using help occurred had made modify allow reviewed looked;2
36;guess mentioned know takes progress cleans exist;0
37;point flocking ';1
38;Seems understand seems makes fit thinks bound bound become;0
39;is vandalize help defray bear Sounds bear do done believe have complains have zipping looking protest look Imagine look see flying;2
40;created Creates Continues cut started;0
41;remember spent keeping stabilized pointing spent turn need insure need retrain said are do proposed require replaced powered required fly require stay suggested stabilized require require dumping is;2
42;jump think mean has ask quoted says guaranteed proving purchased s die save s leads s According remove includes restricted According like means killing has see include has makes Makes mean stated implemented used deal do WELCOME find tell think are seems like understand;0
43;searching rendering developed take appreciated;1
44;looking used heard compare heard needs appreciated Thank;1
45;read had misunderstand;0
46;read told put put assume need expect read based see elaborate deny according found established make based teaches harm realized teaches perform clarify mean say calls do considered do become transgresses leave contrasted means known find used known putting believe write knowing say mean follow mean;0
47;clarify written changed making saving said made clarified made following takes giving intended reams mucking knew followed points surpass accepted go debate dance become practiced believed think agree are know believe is changes demands live have respect respects be;3
48;aren\'t considered;3
49;Show perpetrated have talk inspired commited put put advancing doing violates saying using uses;3
50;According chosen read rotfl reveals picked have came writing called read leave looked said said added go said invented said said;1
51;remember seeing touched know showed put float held clutching struggled held breathing slow swim shows made;2
52;replied equates created created found uncreated made made made consist passages created depends create agree Granted including organized apply mentioned passing refer differing say agree base think do find trying persuade created say granted grant expect addressed reply have address answer raised jump grant states created states have adopted received received cry enter receiving become received gave become believe born occured born believe adopted expressed evince is contradicts says teaches speak seen do seen do said born have said love proceeded came came sent understand hear do abode is speaketh said cease pervert walked according according loveth becomes received gave become believe bestowed called knoweth knew doth appear know appear see born born predestinated according begat led received fear- received cry let love born born loveth told know thee sent know mentioned portray reconciled removed proclaim denies According knowing died left mean interpreted think make mean address raised seeks obfuscate try read change teaches deny alter teaches Looking blessed obtained look see teaches discount teaches are have differing see teaches have look had work doing ibid had baptized gain published constitute consist mean says have think come conclusions come seem prepared accept find mentioned needed saved put addressed needing comes have addressing scotched think matters;3
53;changed;2
54;wondering knew output is modify implement get faces;1
55;agree was wrote works exists are are dates quoted mean discovered dating mean are given letter reconstructed lost written starting call identified make;0
56;mean sampled has;1
57;using get prefer set sending using make appreshed Glued;1
58;looking displaying edit add change need put manipulate add know;1
59;looking related prefer know have inform;1
60;assuming has spending winning develop charging try do existing assuming going take build took depending date took start chickened want consider shipped;2
61;;0
62;looking got follows want get failed send appreciated Thank;1
63;is provided look using creating;1
64;return including seen had entitled has co - authored includes published know;2
65;= formed taken using;1
66;talk try read work Announce go keeps see begin developed;2
67;divide care have say start talking led doing assume care led say worship indicates led have seems;0
68;Hi spend goes need find based do superimposed We\'ve given interpolates creates post;1
69;claim are conflicting tell tells exists deduce given;3
70;allow write have moved prove have appreciate;1
71;doubt are armoring consider rs pick buying thinking;2
72;shifted gaining have;2
73;help find figure extract convert s need writing;1
74;read stated replaced existent promised think g = fit launch offers thought throw;2
75;solved determining recalled find given find spent solving using failed had use deal appreciated post let share;1
77;miss repost accept do continue claim lying practised think has tell lying;0
78;take land missing know fall jacked;2
