ID;text;group
1023;intended referring;0
154;appears claim gets have fall had changing given know;0
196;seems have feel save tell feel do regret had feeling hanging happen try learn go need believe adjust attached know know speaking care recognize hinder have inspiring are subscribe shake feel;3
1124;know seem;3
1609;get get make get think is do make mine understand talking propose have have done paying owe made make spend owe driving benefit get go cause get have;2
1810;wanted know recommend animated;1
1640;writes reckon refuse speaks \tescaped refused spake escape turn \tWhose shook promised \tsaying shake signifies \tthose shaken made shaken remain \tWherefore receiving moved have serve consuming revealed flaming taking know obey punished come glorified \tadmired believe believed gives reckon got talking going overloading seems apply know suggests want sent Seems purified protected survive have shielded involves relates involves versed 100\% wants understand wants save dispose born means matters loving cares pull fearing worrying isn\'t see taken studying points bears hope taken Seems get;3
510;judging headed going have wade hope said stay blew sank;0
1016;sez- paving demonstrate depends Mind saying benefit glassed think pay follow exposing got thought had communicated pacified;2
645;repudiating think made attacked believe think cover trying say is wish support wish justify believe need show presented read represented found found accept base change;0
118;Required incorporated means leave come means associated tends reduce looking;2
454;called prospecting geared put support Subscribe we\'re supporting thinks done have thinks done address complaining doing get do regarding got stopped trashing made see dealing judge Suffice say disagree take want defend started took called started stole stole think start contradicting occurs apply reminds broke borrowed borrowed gave broken gave Make try address think meant rewarded point mean risking interpreting got insult get making alleged exists have provided ignore based made Forgive giving had said aren\'t required taking regarding read required help read going eat hope raving insulted made tried make addressed existed took do got made imagine taking cares came do consider saw come seen remember went regarding continue take decide calling called see interpreted judge try proves care fill wanted impress put belongs thought bring playing had turning bringing embarassing feel tried make tried communicate isn\'t exposed get know hope leave have attempt keeping approach dropping \\;2
797;wrote have do know used think email used reading sent sounds allows does requiring get going means used used has compile using advertise have Hope helps wanting know;1
1504;gripe volunteer help define critique;1
1091;Given described seemed given has constrained do Test Build handle using get build make need Use Use Use stripped;2
1476;have say have;0
979;GO BELIEVING;0
963;run bounced fooled implemented ran have dig was;1
445;have came bandied thinking think;1
264;asked going apologize pointing saying shows objecting pointing do calling screens think responded read responded taken objected doing criticized agreed disagreed criticized evading trying explain addressing raise accusing accusing motivated attack see apologize apologize offended;3
1512;elaborate gather do summarised bad provide;2
1681;attended talking going funded remember title discarded asked spend keep have going are spent spent using have did starting retired become seen funding benefited owed keep developing cutting wrung;2
655;brings understood asked got seem considered studied looked write looked see wrote look write barring inspired argue look ate worked walked talked wouldn\'t be heard guess know is writing apply raise pay;3
1101;shown is differentiates challenge produce knocked stood written seen exert using withstood started attracting becoming;0
303;accept viewed do remains say take divorce carries;0
865;is believing exists loving believes exists love request provide believe exists compel love served served made deleted;0
53;changed;2
1943;Reading has has support have used Let assume operate gives working build allow go let say have support requires support weigh support increase see is based afford need support need support Let choose afford assuming costs have becomes launched have provide eliminated counter contribute represent wasted starting have contend simplified consider require drops;2
339;mention thought got taking seemed want land explaining do got remember placing explain done hang;2
1070;heard tell program run;1
1204;put have activated manned act take;2
1470;find managed put are used attacking denies find considering used;3
936;do Keep have store comprise set transform have transform processing vertices belong bacfacing have transformed transform check project store produced have have done;1
186;have altering changing scanning know have use has wondering want put print know doing gain working guess know helping posting;1
1635;consider killed sponsored;3
447;questioning assume questioning found stick wondering seen assume exists switch keep known known known become kept has do brought born brought told wrote inspired talked performed told question do lose damn read seems stop read is inculcate concentrate gloss explain eat doubt means learn put concerns has becomes taught remove leads ask questioning put exist look presented put question;3
2017;is called does have;2
89;shows think interviewed flipped wrote written;0
1164;need creating like use transforming got have talk have talking like have handles say;1
1372;has;1
406;Call lie lie define define meet say lie desired Consider passing desired Take containing lies containing do)- Let are lies need exists defined Check Find check lie Find check lie Find Find Find Find passing Find containing find lies take Find Find desired containing choose;1
44;looking used heard compare heard needs appreciated Thank;1
846;looking use write heard mentioned pardon sounds asking;1
1813;presented seen presented presented see offered ask provide theism\ offer give m theism\ vary snide attack made Ingles;0
290;apply subtracting give have clamp resulting done floats applies have;1
1933;released have;1
2023;Wasn\'t looked extruded described captures make recall liking guess developed eat watching remember;2
485;suggested involved named passed going working carried sounds know expect go paid cover noted involved like see did happen dislike got lived doing hurting draw contribute know gather discussed get get have remains seen watching notice;2
1181;deleted stated believe CARED thought needed say did;3
182;brought Assuming correlated discussed cited assume looking think shown claimed are dominated qualify going say have reading don\'t having wishes Tell ignore fit like have;0
607;let congratulate posting going seems found flamed argued think built believe is find represent held held accept make say trying accept begin using defeating doing call stop pop tell do show tell censoring overbearing Let provide get discuss start saying think force have agree say have know using says have uncovered become kills eats feels done deleted going accept ask accept comes shares say cataloging detect construe mean hope relize suggest seems respect point serves affirms involved assuring orgasmed applies accept make want do building make mean sinned Granted tend were have act think read mull;3
88;separates agree helping used looks use;0
1577;know convert convert doing help explain stored;1
1106;Note said have packing use parsed comprise have is bearing known spoke placed has created speak rape has rape is define hold bearing define believe loses declared;3
256;suffer watch want go escape think stop goes doing wouldn\'t want looks make want paint want name draw drawing think get;2
825;See intersecting does want is;1
1113;get have;0
1254;resolved showing decreasing sum suppose emitting sent got keep increasing get stop observe reaching detected keep decreasing vanish reaches guess make get;3
765;mind sounds proceeding accused preceeded made supposed hearing made regarding withdrawn regarding received regarding is made received regarding abstruse used camoflage used;0
11;like program switching using changing registers know select need selects knows obtain \t\t\tthanks;1
663;evolved played allowing build visualize interact intended bridge equip wish prepackaged intended used encouraged bring carried using have including integrating wishing gain limited served taken required required held interspersed provided enrolled graded enrolled receive given meet share discuss encountered vary volumetric Representing taught related handled handled completed served based mailed check explain explain Indicate following describes made tell starting Make coincides ask reserved call;1
334;worshipping Worshipping make working change wasn\'t gave know;0
454;Try has converts;1
382;cost take;2
1463;speaking knowing speaking using range heard used contain heard doing heard require are see sized using constitutes describing require have involved allowed know involved;2
1321;see opposing require opposing see guarantee want aren\'t going back manage get pray;3
581;regarding omitted know read tried realize;1
761;= = seems = have feel save tell feel do regret had feeling hanging tell get burning hold fill told hold burn told suppose ignore holding want do got feels let know informing needs tells need seen informing is done requires require become requires listen = know know speaking care recognize = hinder have inspiring knew liked dropping speaking care matter want have knew liked having convice speaking care care putting matter have meant are subscribe shake = feel take care;3
1189;have put killing annoyed knew doing including let suffer die considered follow want die spare has do have understanding knows think produce;3
1579;= known lost lost Cave lost lost descended made is described explained have believe understand tend personify help wonder;0
52;trademarked know rise start;0
67;Blessed thirst filled;3
1853;wasn\'t believe pushing;3
130;opposed say terminated reduced;2
374;make go fade likes change continues change;1
1146;looking runs run require add run appreciated;1
1387;explain typing have do tells do;0
106;accept written start;0
1940;appear;3
332;get have launched getting used seeing;2
1503;is;1
1984;said took noted replied call took constitute reply justify condoned taking asked explain acknowledge give assume condoned taking assumed begins explain intended follow preceded concluded believed implied condoned taking seen imply believe implied thought take making made called disagree explain admit agree say;3
1922;excuse remember reading known exists post;0
605;need know is have kill seem bound leak;3
565;boding had got heard want do examining based headed believe;2
578;know;0
