Feature,Importance
orbit,0.03960928234877475
file,0.037873851863589485
shuttle,0.026029700362541715
atheists,0.023196303989952007
jesus,0.023023417213107952
moon,0.018263261355699275
files,0.017663859319226313
spacecraft,0.015058350326471206
advance,0.014057805993992045
images,0.013818376357322065
card,0.013024645715929742
launch,0.012640155481254516
religious,0.011740790881641856
code,0.011700122247153095
islamic,0.011255899052888936
koresh,0.010584179662822966
bible,0.010517969831859098
moral,0.009783032322728884
comp,0.009363716253310343
kent,0.008951655617403288
windows,0.008342162492646143
atheism,0.00802258258854259
safety,0.0071321342464787585
package,0.006849972679418231
sci,0.006725540504199816
evidence,0.006607847000570168
wouldn,0.0064259650735371725
rocket,0.006417015670406156
algorithm,0.006315561232666255
objective,0.006295326040370693
money,0.006292363919584036
christ,0.006042951728216331
hi,0.00592441672264685
version,0.005920109810394862
solar,0.0055568089262469774
beauchaine,0.0053205532396209485
kill,0.005199358301798841
islam,0.005097171267420892
truth,0.0049970949775205555
argument,0.0048811544545373665
remember,0.004814000872060763
certainly,0.004787550541974546
bobby,0.004692027017167856
color,0.004606380514783681
points,0.004539697300868512
flight,0.0045117016579204255
format,0.0042821923153771955
stuff,0.004213678215174742
logic,0.004175264147865946
tommy,0.0041682517531633
following,0.004107571226027173
groups,0.003999569736882886
near,0.003985474997267424
atheist,0.003926776444843209
past,0.0039067966092623954
screen,0.003872596730390748
1993,0.003846551514389126
christians,0.003838696943300386
lord,0.0037079739177358997
gov,0.003658611189536831
cheers,0.003652556786132554
morality,0.003587906416636114
send,0.00357468549834476
abortion,0.0035135482854644737
hello,0.00348350035040983
church,0.003453949737341967
maddi,0.0034534712375405103
sense,0.0034516801183611815
energy,0.0034129872398253346
library,0.0033688925827870418
punishment,0.0033414028920615304
tells,0.003311065604099383
subject,0.003309613624121155
translation,0.003309337255744368
email,0.003125380376962856
funding,0.0031194446900554467
later,0.0030726598931626703
satellites,0.0030660638183539492
century,0.003059486453415347
list,0.0030337631289870546
change,0.003028334744751147
story,0.002998349072392265
deleted,0.002968844715504857
care,0.002943085048710131
motto,0.0029228533640975993
arabia,0.002887857290608212
word,0.0028865422421055923
statement,0.002779424372259612
mind,0.0027693092914153716
written,0.0027615311399297993
events,0.002751238855651038
documented,0.002690215378047996
eternal,0.0026783359084598226
perfect,0.0026294787985644743
writing,0.002626304881087733
deletions,0.0026245544981983388
hardware,0.0026221440174754597
keith,0.0025876322778250168
phone,0.002586286957403239
vesa,0.002558990775042723
plane,0.0025484608125947877
edu,0.0025219486890350213
clearly,0.0025111798523220884
liar,0.0025022828333460534
running,0.0024749460778595305
siggraph,0.002450237265618704
display,0.0024008082674059823
project,0.002391306329106544
cost,0.002362859445440518
rights,0.002329192048221936
small,0.0023232369370263144
america,0.0023060461896674575
3d,0.002305484379663793
algorithms,0.0022742870267589777
company,0.002213762462453064
clear,0.0022123980627257525
sentence,0.002193584645746017
faster,0.002190546905717106
alt,0.0021903277600130878
journal,0.0021582962565250665
individual,0.0021375807228802696
contradictory,0.0021331275512491647
values,0.002125513104645644
tthe,0.002103851807114015
mentioned,0.002103125757279417
animals,0.002073752492512965
extremely,0.002056050827737642
companies,0.0020534284008551476
imaging,0.0020457166768342206
meaning,0.00201561147437419
wish,0.0019851211692451095
days,0.0019673246211832475
welcome,0.0019672171464702633
getting,0.0019330290409109718
claims,0.0019295696411857548
ago,0.0019275600827609546
children,0.0019156670775433166
satellite,0.001903873248438736
saved,0.001903815026899178
species,0.0019008656464219388
tand,0.0018849564452735191
neighbors,0.0018802956928830926
smiley,0.0018753721519051863
theory,0.0018724580301387886
admit,0.0018632278407170045
concept,0.0018571630403740249
accept,0.0018537238495585175
command,0.0018475062952647415
reply,0.001844911840873916
laws,0.0018434614808168722
unable,0.001840340911385129
area,0.0018391437321373916
problems,0.0018385795320742225
sunset,0.001827735529396117
atmosphere,0.0018202569398773185
routine,0.0018190270316239727
statements,0.0018118342418861105
client,0.0018031251771600538
